Day,Barrels
2/5/2021,1313632
1/29/2021,1324801
1/22/2021,1321882
1/15/2021,1333589
1/8/2021,1334270
1/1/2021,1343695
12/25/2020,1342040
12/18/2020,1356969
12/11/2020,1367643
12/4/2020,1373886
11/27/2020,1353960
11/20/2020,1353844
11/13/2020,1354914
11/6/2020,1365069
10/30/2020,1376547
10/23/2020,1391224
10/16/2020,1395103
10/9/2020,1402338
10/2/2020,1419134
9/25/2020,1421111
9/18/2020,1421684
9/11/2020,1429163
9/4/2020,1424862
8/28/2020,1428283
8/21/2020,1436037
8/14/2020,1443809
8/7/2020,1446420
7/31/2020,1452571
7/24/2020,1454680
7/17/2020,1461159
7/10/2020,1452344
7/3/2020,1461620
6/26/2020,1451779
6/19/2020,1450655
6/12/2020,1446723
6/5/2020,1439638
5/29/2020,1429929
5/22/2020,1414785
5/15/2020,1399920
5/8/2020,1394885
5/1/2020,1395429
4/24/2020,1377513
4/17/2020,1367104
4/10/2020,1341573
4/3/2020,1314332
3/27/2020,1281285
3/20/2020,1260286
3/13/2020,1257983
3/6/2020,1265513
2/28/2020,1273193
2/21/2020,1285009
2/14/2020,1286969
2/7/2020,1288042
1/31/2020,1289038
1/24/2020,1289749
1/17/2020,1288470
1/10/2020,1290164
1/3/2020,1275734
12/27/2019,1261072
12/20/2019,1264193
12/13/2019,1274640
12/6/2019,1275651
11/29/2019,1258490
11/22/2019,1263549
11/15/2019,1263559
11/8/2019,1268828
11/1/2019,1274794
10/25/2019,1270532
10/18/2019,1273084
10/11/2019,1282157
10/4/2019,1283980
9/27/2019,1292311
9/20/2019,1293239
9/13/2019,1292668
9/6/2019,1291893
8/30/2019,1294933
8/23/2019,1299927
8/16/2019,1311222
8/9/2019,1307338
8/2/2019,1304775
7/26/2019,1294383
7/19/2019,1304457
7/12/2019,1310905
7/5/2019,1298926
6/28/2019,1302493
6/21/2019,1299928
6/14/2019,1311841
6/7/2019,1312314
5/31/2019,1303043
5/24/2019,1280243
5/17/2019,1281538
5/10/2019,1264667
5/3/2019,1249867
4/26/2019,1251659
4/19/2019,1238616
4/12/2019,1229596
4/5/2019,1227037
3/29/2019,1222839
3/22/2019,1215839
3/15/2019,1215646
3/8/2019,1228139
3/1/2019,1238107
2/22/2019,1238530
2/15/2019,1256567
2/8/2019,1259376
2/1/2019,1253228
1/25/2019,1256500
1/18/2019,1261419
1/11/2019,1254962
1/4/2019,1250327
12/28/2018,1237084
12/21/2018,1222724
12/14/2018,1224926
12/7/2018,1235469
11/30/2018,1241438
11/23/2018,1250120
11/16/2018,1248229
11/9/2018,1248058
11/2/2018,1249700
10/26/2018,1245372
10/19/2018,1252199
10/12/2018,1260579
10/5/2018,1257958
9/28/2018,1246585
9/21/2018,1238955
9/14/2018,1234518
9/7/2018,1233913
8/31/2018,1223778
8/24/2018,1219898
8/17/2018,1221664
8/10/2018,1224349
8/3/2018,1207015
7/27/2018,1203825
7/20/2018,1193291
7/13/2018,1203204
7/6/2018,1197383
6/29/2018,1204580
6/22/2018,1201064
6/15/2018,1205465
6/8/2018,1205098
6/1/2018,1206800
5/25/2018,1191029
5/18/2018,1189471
5/11/2018,1182615
5/4/2018,1183243
4/27/2018,1184955
4/20/2018,1179589
4/13/2018,1178359
4/6/2018,1188756
3/30/2018,1182747
3/23/2018,1186589
3/16/2018,1188077
3/9/2018,1194701
3/2/2018,1199334
2/23/2018,1199259
2/16/2018,1195623
2/9/2018,1203593
2/2/2018,1206493
1/26/2018,1202142
1/19/2018,1200376
1/12/2018,1203488
1/5/2018,1217289
12/29/2017,1222737
12/22/2017,1221401
12/15/2017,1230309
12/8/2017,1244574
12/1/2017,1247038
11/24/2017,1249581
11/17/2017,1257120
11/10/2017,1257144
11/3/2017,1254436
10/27/2017,1263539
10/20/2017,1269180
10/13/2017,1281177
10/6/2017,1289708
9/29/2017,1291108
9/22/2017,1297413
9/15/2017,1302423
9/8/2017,1308786
9/1/2017,1306989
8/25/2017,1300534
8/18/2017,1301666
8/11/2017,1301666
8/4/2017,1308832
7/28/2017,1313557
7/21/2017,1312666
7/14/2017,1321814
7/7/2017,1332087
6/30/2017,1335894
6/23/2017,1349383
6/16/2017,1348545
6/9/2017,1350468
6/2/2017,1343664
5/26/2017,1327954
5/19/2017,1333099
5/12/2017,1336544
5/5/2017,1332286
4/28/2017,1336032
4/21/2017,1335003
4/14/2017,1328548
4/7/2017,1330350
3/31/2017,1334977
3/24/2017,1333887
3/17/2017,1337877
3/10/2017,1336547
3/3/2017,1344454
2/24/2017,1346694
2/17/2017,1346060
2/10/2017,1356807
2/3/2017,1345340
1/27/2017,1343633
1/20/2017,1338069
1/13/2017,1329108
1/6/2017,1330891
12/30/2016,1317260
12/23/2016,1311033
12/16/2016,1324122
12/9/2016,1336002
12/2/2016,1338118
11/25/2016,1336758
11/18/2016,1336700
11/11/2016,1337000
11/4/2016,1330107
10/28/2016,1337021
10/21/2016,1328257
10/14/2016,1337407
10/7/2016,1341228
9/30/2016,1315693
9/23/2016,1357504
9/16/2016,1357880
9/9/2016,1363947
9/2/2016,1357983
8/26/2016,1371845
8/19/2016,1367347
8/12/2016,1360648
8/5/2016,1359005
7/29/2016,1356301
7/22/2016,1354090
7/15/2016,1351173
7/8/2016,1348469
7/1/2016,1341271
6/24/2016,1337933
6/17/2016,1339096
6/10/2016,1333636
6/3/2016,1334079
5/27/2016,1329747
5/20/2016,1332379
5/13/2016,1333253
5/6/2016,1334025
4/29/2016,1335850
4/22/2016,1333690
4/15/2016,1328303
4/8/2016,1328711
4/1/2016,1322018
3/25/2016,1321574
3/18/2016,1320209
3/11/2016,1313377
3/4/2016,1311750
2/26/2016,1312140
2/19/2016,1302018
2/12/2016,1307078
2/5/2016,1303518
1/29/2016,1303094
1/22/2016,1293511
1/15/2016,1294608
1/8/2016,1288078
1/1/2016,1278051
12/25/2015,1269773
12/18/2015,1269935
12/11/2015,1275094
12/4/2015,1270276
11/27/2015,1273841
11/20/2015,1271706
11/13/2015,1269361
11/6/2015,1269121
10/30/2015,1266757
10/23/2015,1268660
10/16/2015,1272064
10/9/2015,1270600
10/2/2015,1267240
9/25/2015,1264708
9/18/2015,1261218
9/11/2015,1264248
9/4/2015,1255803
8/28/2015,1252526
8/21/2015,1246907
