x,y
36,2509
34,2065
36,2163
74,4097
52,2872
53,2892
39,2102
46,2472
48,2520
268,13839
220,11237
119,6050
41,2073
77,3802
45,2210
401,19359
96,4602
240,11451
100,4745
302,14252
67,3159
45,2120
45,2111
96,4464
397,18430
93,4291
459,20979
904,40997
47,2127
124,5609
322,14560
120,5424
147,6603
276,12343
84,3692
78,3391
100,4329
169,7314
120,5193
242,10462
189,8155
107,4605
79,3397
299,12723
149,6295
293,12374
697,29433
60,2532
91,3806
66,2756
63,2628
98,4083
49,2039
56,2330
60,2491
88,3647
54,2227
225,9270
73,3004
66,2704
99,4040
134,5450
83,3367
111,4499
853,33756
132,5185
99,3861
247,9627
52,2011
562,21699
155,5931
119,4542
55,2096
119,4521
64,2413
92,3456
125,4688
56,2084
116,4296
256,9475
61,2248
81,2973
256,9318
73,2656
58,2110
114,4114
60,2161
59,2120
188,6754
87,3123
551,19606
198,7039
68,2406
68,2405
84,2959
118,4136
89,3117
196,6848
811,28271
77,2681
110,3825
232,8060
573,19860
200,6927
335,11583
890,30759
663,22837
363,12480
141,4839
300,10285
107,3667
92,3152
76,2599
126,4298
99,3343
230,7763
179,6036
394,13253
97,3236
77,2567
290,9576
75,2463
89,2919
261,8510
445,14507
108,3506
578,18687
590,18811
434,13835
77,2452
687,21806
214,6774
71,2228
103,3207
119,3701
166,5162
275,8498
355,10891
84,2534
79,2377
436,12962
104,3089
68,2006
127,3744
252,7350
74,2139
128,3682
247,7077
262,7493
317,9036
189,5360
109,3090
267,7559
95,2681
483,13622
291,8161
204,5708
224,6234
138,3837
79,2191
155,4287
160,4416
358,9794
175,4667
428,11409
85,2254
152,3988
203,5316
106,2768
80,2082
313,8140
987,25654
593,15352
200,5175
422,10878
151,3863
433,11068
477,12169
730,18313
99,2456
327,8079
90,2211
102,2486
144,3484
602,14513
757,18230
106,2543
178,4236
352,8328
134,3164
178,4194
109,2551
97,2257
87,2013
169,3878
122,2798
186,4225
264,5973
377,8519
284,6362
179,3997
249,5500
333,7233
121,2602
100,2148
458,9664
151,3166
428,8761
422,8419
180,3543
985,19307
129,2503
202,3895
178,3432
238,4567
592,11332
107,2026
337,6111
285,5166
194,3488
140,2475
309,5364
131,2187
290,4778
179,2843
322,4975
335,4882
205,2932
272,3082
